Chain,Landscape,[11],[12],[13],[14],[22],[23],[24],[33],[34],[44],[1],[1][1],[1][2],[1][3],[1][4],[2],[2][1],[2][2],[2][3],[2][4],[3],[3][1],[3][2],[3][3],[3][4],[4],[4][1],[4][2],[4][3],[4][4]
1o6d_A,28,0.007823463600000236,0.004396286800000116,0.004135349500000062,0.003624130100000043,0.005381098350000128,0.00476465425000002,0.004280748800000004,0.0049573197500000915,0.004297645250000049,0.004417092900000031,0.0,-0.00391173179999099,-1.6042903934749988,-1.816697654675,-1.9563462606499897,0.0,1.5998941066749999,-0.002690549175001806,-0.49147410052500207,-0.7480417627999932,0.0,1.8125623051750053,0.48670944627500695,-0.002478659874981764,-0.3017726846999968,0.0,1.9527221305499987,0.7437610140000047,0.2974750394500183,-0.0022085464500121114
1o90_A,29,0.005963701900000182,0.00551102605000013,0.005236712250000123,0.004486123100000029,0.005754893700000119,0.005030212500000096,0.004287645350000038,0.005698289900000129,0.004119162650000024,0.005641901750000103,0.0,-0.002981850950001464,-0.6412340890500168,-0.6608337025000064,-0.7192319203750013,0.0,0.6357230630000062,-0.0028774468499765,-0.06243727059999958,-0.13255614427501725,0.0,0.6555969902499925,0.0574070580999922,-0.002849144950016651,-0.0944414902250229,0.0,0.7147457972750048,0.1282684989250053,0.0903223275749843,-0.0028209508750010695
1o92_A,30,0.005953895550000146,0.005511127450000114,0.005195267650000081,0.004442710850000023,0.005729123850000114,0.005068472750000111,0.004304271150000053,0.005692244850000135,0.004126515650000015,0.005635858900000112,0.0,-0.0029769477750067855,-0.6534777436750127,-0.6812364346250172,-0.7496167727000027,0.0,0.6479666162250056,-0.002864561924996225,-0.07110271847501234,-0.16769912165000245,0.0,0.6760411669749926,0.06603424572500649,-0.0028461224250078913,-0.11638807450000103,0.0,0.7451740618499998,0.16339485049997557,0.1122615588499926,-0.0028179294499893785
1o93_A,31,0.005936857200000172,0.005511351950000128,0.005228952600000134,0.004456009899999995,0.005750324750000144,0.005025922700000141,0.004253361900000044,0.005698022850000122,0.004088875050000006,0.005643123350000098,0.0,-0.0029684285999987806,-0.4867667323250009,-0.5488166763250067,-0.6386775306250332,0.0,0.4812553803749899,-0.0028751623749996196,-0.08885851517500039,-0.17702976887499652,0.0,0.5435877237249936,0.08383259247498914,-0.002849011424985971,-0.1118272353249985,0.0,0.6342215207249917,0.17277640697500457,0.10773836027500129,-0.002821561675009365
1o9t_A,32,0.005960804000000172,0.0055678406500001346,0.0052231977000001106,0.0044027359500000765,0.005755821550000135,0.005075808900000105,0.004285305150000075,0.005692547950000116,0.00407758190000006,0.005655270800000121,0.0,-0.0029804020000026754,-0.718884872725001,-0.6355948157250074,-0.7319850341500078,0.0,0.7133170320749923,-0.0028779107750204354,0.029506011725004028,-0.07460723350000618,0.0,0.6303716180249944,-0.034581820624997275,-0.002846273975000522,-0.13583635640000422,0.0,0.7275822982000089,0.07032192835001091,0.13175877450001333,-0.0028276354000028015
1p7l_A,33,0.006028843950000169,0.005738885550000153,0.004801912600000093,0.004747915600000061,0.005845358300000178,0.0048854011500000915,0.004831404150000057,0.005779252200000115,0.0041617330000000815,0.005724814900000104,0.0,-0.0030144219749838074,-0.6509391182999885,-1.0382891919499935,-1.572387164699993,0.0,0.6452002327499953,-0.002922679150002538,-0.5270932727999909,-1.1521598399499826,0.0,1.033487279349988,0.5222078716499943,-0.0028896261000145875,-0.6922091649499877,0.0,1.5676392491000133,1.1473284358000024,0.6880474319499995,-0.002862407450011764
1p9p_A,34,0.005953086350000096,0.00507035005000011,0.004799787600000061,0.004628510550000078,0.005720870400000096,0.004820320550000091,0.004567107800000059,0.005527886800000103,0.0044100526500000315,0.005455045150000153,0.0,-0.0029765431749720446,-0.6554408725499925,-0.19383135264998919,-0.6142243478249856,0.0,0.6503705224999848,-0.0028604352000157988,0.47570256680002315,-0.11882467867501251,0.0,0.18903156505001514,-0.4805228873499968,-0.0027639433999707744,-0.5382769735750121,0.0,0.6095958372750204,0.1142575708750003,0.5338669209250166,-0.002727522575007631
1qm4_A,35,0.005812637150000146,0.00554159470000011,0.005380631400000039,0.005018440300000052,0.005729105500000167,0.005209463800000011,0.004833652300000039,0.005637071100000084,0.004773933600000023,0.00560752645000009,0.0,-0.0029063185749807954,-0.32020088729998003,-0.4658656063000035,-0.45023401987499667,0.0,0.31465929260000575,-0.0028645527500002106,-0.12318478815000611,-0.11967407732500308,0.0,0.4604849748999959,0.1179753243499875,-0.002818535549997827,0.004753991075000293,0.0,0.4452155795749859,0.1148404250249978,-0.009527924675000137,-0.0028037632250137944
1raz_A,36,0.0062273421500002365,0.005313193350000042,0.005279545749999964,0.005070785200000077,0.005966103000000167,0.0052345806999999885,0.004955262900000008,0.005869987750000174,0.005154988700000038,0.00568376750000014,0.0,-0.003113671074977303,-0.039973618949990214,-0.5997548511250016,-0.5287994576000212,0.0,0.03466042559999398,-0.002983051500011653,-0.6337661617250063,-0.5881394320500117,0.0,0.5944753053749826,0.6285315810249991,-0.002934993874995334,-0.019161837400008583,0.0,0.5237286724000048,0.5831841691500081,0.014006848699996013,-0.0028418837499970023
1rg9_A,37,0.006006597500000144,0.005722100650000134,0.0048018647500000875,0.004747444600000064,0.00582917675000014,0.004882919650000087,0.00482849950000005,0.005782712700000123,0.00413962895000008,0.005723717000000089,0.0,-0.0030032987500028903,-0.6508008966249935,-0.9751973684499927,-1.5340421247000011,0.0,0.6450787959749978,-0.002914588374998807,-0.46005418520000163,-1.1129796894500001,0.0,0.9703955036999882,0.45517126554999593,-0.002891356349996569,-0.707575491400002,0.0,1.5292946801000051,1.1081511899500114,0.7034358624499897,-0.002861858500002635
1thk_A,38,0.006209893000000174,0.005626551000000076,0.004961475649999956,0.004966710850000073,0.006062336550000146,0.005189379500000004,0.00505710805,0.005754617750000183,0.004956594300000019,0.005639350800000134,0.0,-0.003104946500006377,-0.27175951492499234,-0.7337691865749918,-0.6675842239499922,0.0,0.26613296392499614,-0.00303116827501766,-0.5442277925250157,-0.42381310705000175,0.0,0.7288077109250004,0.5390384130250144,-0.0028773088750027194,0.03140407919999977,0.0,0.662617513099986,0.41875599899998533,-0.03636067349999468,-0.0028196753999910253
1to0_A,39,0.007563528950000083,0.00578873950000013,0.0049123339500001225,0.004408469400000047,0.006027309500000174,0.004714678450000175,0.00443889335000005,0.005534291650000157,0.004003229600000089,0.004964631200000079,0.0,-0.0037817644750070068,0.015200799149992028,-0.7883314983249962,-0.8832473347000024,0.0,-0.020989538649991344,-0.0030136547499969918,-0.8154007714249903,-0.8947532189999974,0.0,0.7834191643749815,0.8106860929749966,-0.0027671458250087006,-0.2545409643999954,0.0,0.8788388652999968,0.8903143256499944,0.2505377348000024,-0.002482315599993016
1uaj_A,40,0.006012821550000151,0.004944969700000044,0.004718740600000075,0.00423324730000005,0.0058385209500001044,0.0047252947500001,0.004233697750000045,0.0054876686000001,0.0043527003000001325,0.005337177800000113,0.0,-0.003006410775001762,-0.19998864512499465,-0.950312240249984,-0.9364138706499965,0.0,0.19504367542498666,-0.0029192604749894266,-0.7911249659999894,-0.822625229700003,0.0,0.9455934996500187,0.7863996712500038,-0.0027438342999916206,-0.15878917229999603,0.0,0.9321806233499821,0.8183915319500055,0.15443647200000313,-0.0026685889000036362
1uak_A,41,0.0060478432000001525,0.004319095300000123,0.004102611600000088,0.0042173736500000746,0.005772843000000131,0.004884942600000073,0.004544574250000098,0.00558752820000012,0.004513405350000113,0.005507711100000131,0.0,-0.0030239216000073257,-0.7152023699999991,-1.2055952169499873,-0.9257560828500243,0.0,0.7108832747000146,-0.0028864215000055943,-0.6086758920500114,-0.40216616344999184,0.0,1.2014926053499921,0.6037909494499935,-0.002793764100005909,0.1587378297999994,0.0,0.9215387091999968,0.3976215892000016,-0.16325123514999773,-0.0027538555499970188
1ual_A,42,0.00601064755000017,0.004419985600000128,0.00412027075000011,0.004320682400000053,0.005779140700000162,0.004673678650000067,0.004281279100000046,0.005600119300000134,0.004200782450000077,0.00544969880000009,0.0,-0.0030053237750050765,-0.4555808103999907,-0.799467799250001,-0.7383039994499971,0.0,0.4511608247999944,-0.002889570350013617,-0.44453188870000737,-0.40935825900000083,0.0,0.7953475284999888,0.43985821004999787,-0.0028000596499992945,-0.034412442450002204,0.0,0.7339833170499941,0.40507697990000113,0.030211659999995123,-0.0027248493999977226
1uam_A,43,0.13255653585000154,0.003947143299999897,0.0037216295500000153,0.0033986875999999873,0.006090823050000194,0.004482759600000067,0.004111663050000016,0.005717517150000149,0.004206836900000144,0.005665838450000142,0.0,-0.06627826792501701,-1.5585152645250129,-1.341130864225027,-1.4748141543249969,0.0,1.5545681212249955,-0.0030454115250035073,-0.4321808631250021,-0.7226096032249977,0.0,1.3374092346749853,0.4276981035250007,-0.0028587585750105273,-0.4048173049749971,0.0,1.471415466725008,0.7184979401750029,0.40061046807499723,-0.0028329192250081685
1ugd_A,44,0.006282318100000186,0.0056622446500001564,0.0051482339499999644,0.00497828955000001,0.006057701250000182,0.005244073399999995,0.0050683622499999945,0.005683273400000133,0.005131026050000101,0.0056152267500001315,0.0,-0.0031411590499918337,0.06064683542501501,-0.29916877004999115,-0.2522829954749874,0.0,-0.06630908007499435,-0.0030288506250021005,-0.3623779601000009,-0.33082344647499917,0.0,0.29402053609999146,0.3571338867000114,-0.0028416366999913832,-0.021991328225009505,0.0,0.24730470592499337,0.3257550842249942,0.016860302174996913,-0.002807613374994864
1urt_A,45,0.005978325350000169,0.005491935400000114,0.005138427200000108,0.004796831000000082,0.005816908550000167,0.005088885050000118,0.004809263850000093,0.005777465900000139,0.004920244500000035,0.005681133700000144,0.0,-0.0029891626750116604,-0.23050365197501513,-0.5133554655000114,-0.5833852470000104,0.0,0.2250117165750068,-0.0029084542749956,-0.2837589309000106,-0.36181956539999766,0.0,0.5082170383000056,0.27867004585002164,-0.0028887329500042747,-0.1760103051500033,0.0,0.5785884160000018,0.35701030155000557,0.17109006065001328,-0.0028405668499984103
1v2x_A,46,0.0057336436500001215,0.004276938400000027,0.00430260415000003,0.004173901049999997,0.005562471150000062,0.004358373400000045,0.004287443199999996,0.005214293750000057,0.004588696850000015,0.005140729000000028,0.0,-0.002866821825000736,-0.010004950875007869,0.12109750407498765,0.20998479470000933,0.0,0.005728012475001688,-0.002781235574995772,0.09123096407500454,0.1747440058999998,0.0,-0.12540010822500613,-0.09558933747500102,-0.0026071468749935068,0.08724725994999974,0.0,-0.21415869574999322,-0.1790314491000063,-0.0918359567999974,-0.00257036450000453
1v6z_A,47,0.005697774250000134,0.005244135800000069,0.004851750250000033,0.004808987350000014,0.005451010650000075,0.004679285800000083,0.004708294700000075,0.005261190450000055,0.004433957550000053,0.005140768200000034,0.0,-0.002848887125019001,-0.6075250614750073,-0.777425717325016,-0.706092801050008,0.0,0.6022809256749894,-0.0027255053249933218,-0.2300585274750045,-0.17533576099999743,0.0,0.7725739670750054,0.2253792416749929,-0.0026305952250060124,0.024590058849995208,0.0,0.7012838136999989,0.17062746629998804,-0.02902401640000867,-0.0025703840999973153
1vh0_A,48,0.010378236100000117,0.005540830400000068,0.002962315150000009,0.002973990700000045,0.008251388050000209,0.0044504246000001265,0.003822975750000047,0.004967197050000157,0.004110310550000034,0.004719493300000097,0.0,-0.005189118049986187,-2.412172847224985,-2.8482132375749734,-2.7283898022500206,0.0,2.4066320168249926,-0.004125694025003144,-0.7569861642749858,-0.9088347349999821,0.0,2.8452509224250138,0.7525357396750101,-0.0024835985249830115,-0.33095483719999735,0.0,2.7254158115500005,0.905011759250005,0.3268445266499998,-0.002359746650005091
1vhk_A,49,0.08094253650000065,0.004935744050000134,0.002009242649999989,0.0029659583500000392,0.0056370388500001645,0.002042501150000032,0.0031428562500000535,0.005434226950000178,0.0010230838500000065,0.0053173649000001506,0.0,-0.04047126825000598,-0.12772817852500493,-0.4753201075749914,-0.8796421600999899,0.0,0.1227924344749955,-0.002818519425009421,-0.5358094573750007,-0.9383066201000061,0.0,0.47331086492500607,0.5337669562250017,-0.0027171134749979582,-0.1714664171999985,0.0,0.8766762017500004,0.9351637638499835,0.170443333350001,-0.002658682449999478
1vhy_A,50,0.0062357032000001774,0.005034880750000037,0.00423640690000009,0.003817200800000053,0.005940830250000183,0.004314613100000063,0.003993697100000045,0.005536731950000148,0.0030604612500000302,0.005349042250000137,0.0,-0.003117851600009558,-0.15627440782500768,-0.21624428057500775,-0.6340099515249964,0.0,0.15123952707500707,-0.0029704151250025193,-0.05060142857500121,-0.4728151824249989,0.0,0.21200787367499221,0.046286815475002525,-0.002768365974998788,-0.38885548702499895,0.0,0.6301927507249923,0.46882148532498497,0.3857950257749936,-0.002674521125003194
